	model	dataset	scaler	actor_zscore	features_mode	feature_group	is_top	features_json	model_params_json	accuracy	f1	f1_macro	mcc	tp	tn	fp	fn	roc_auc	average_precision
15	elliptic_envelope	savee	standard	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.32	0.2	0.3	0.06	10.0	28.0	2.0	80.0	0.58	0.82
16	elliptic_envelope	savee	none	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.72	0.84	0.42	-0.09	87.0	0.0	30.0	3.0	0.91	0.97
17	elliptic_envelope	savee	none	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.82	0.89	0.72	0.48	86.0	13.0	17.0	4.0	0.95	0.98
18	elliptic_envelope	savee	none	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.77	0.86	0.58	0.24	86.0	6.0	24.0	4.0	0.84	0.92
19	elliptic_envelope	savee	none	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.34	0.26	0.33	0.07	14.0	27.0	3.0	76.0	0.58	0.81
20	elliptic_envelope	savee	none	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.88	0.96
21	elliptic_envelope	savee	none	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.8	0.88	0.65	0.38	87.0	9.0	21.0	3.0	0.94	0.98
22	elliptic_envelope	savee	none	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.92	0.98
23	elliptic_envelope	savee	none	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.32	0.2	0.3	0.06	10.0	28.0	2.0	80.0	0.58	0.82
24	elliptic_envelope	ravdess	robust	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.48	0.63	0.38	0.01	133.0	11.0	9.0	147.0	0.5	0.94
25	elliptic_envelope	ravdess	robust	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.54	0.68	0.44	0.21	144.0	18.0	2.0	136.0	0.76	0.98
26	elliptic_envelope	ravdess	robust	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.6	0.75	0.43	-0.01	174.0	7.0	13.0	106.0	0.5	0.94
27	elliptic_envelope	ravdess	robust	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.44	0.59	0.35	-0.03	121.0	10.0	10.0	159.0	0.48	0.93
28	elliptic_envelope	ravdess	robust	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.7	0.82	0.49	0.07	203.0	8.0	12.0	77.0	0.57	0.95
29	elliptic_envelope	ravdess	robust	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.46	0.59	0.39	0.17	119.0	18.0	2.0	161.0	0.82	0.98
30	elliptic_envelope	ravdess	robust	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.63	0.77	0.45	0.02	181.0	8.0	12.0	99.0	0.52	0.94
31	elliptic_envelope	ravdess	robust	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.26	0.36	0.24	-0.02	62.0	15.0	5.0	218.0	0.48	0.93
32	elliptic_envelope	ravdess	standard	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.65	0.77	0.5	0.2	179.0	15.0	5.0	101.0	0.76	0.98
33	elliptic_envelope	ravdess	standard	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.54	0.68	0.44	0.21	144.0	18.0	2.0	136.0	0.76	0.98
34	elliptic_envelope	ravdess	standard	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.7	0.82	0.45	-0.03	207.0	4.0	16.0	73.0	0.53	0.94
35	elliptic_envelope	ravdess	standard	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.44	0.59	0.35	-0.03	121.0	10.0	10.0	159.0	0.48	0.93
36	elliptic_envelope	ravdess	standard	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.82	0.9	0.54	0.11	241.0	6.0	14.0	39.0	0.66	0.97
37	elliptic_envelope	ravdess	standard	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.46	0.59	0.39	0.17	119.0	18.0	2.0	161.0	0.82	0.98
38	elliptic_envelope	ravdess	standard	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.86	0.92	0.54	0.09	254.0	4.0	16.0	26.0	0.62	0.96
39	elliptic_envelope	ravdess	standard	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.26	0.36	0.24	-0.02	62.0	15.0	5.0	218.0	0.48	0.93
40	elliptic_envelope	ravdess	none	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.55	0.69	0.43	0.14	149.0	15.0	5.0	131.0	0.71	0.97
41	elliptic_envelope	ravdess	none	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.54	0.68	0.44	0.21	144.0	18.0	2.0	136.0	0.76	0.98
42	elliptic_envelope	ravdess	none	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.58	0.73	0.43	0.02	166.0	9.0	11.0	114.0	0.55	0.95
43	elliptic_envelope	ravdess	none	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.44	0.59	0.35	-0.03	121.0	10.0	10.0	159.0	0.48	0.93
44	elliptic_envelope	ravdess	none	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.92	0.96	0.52	0.07	276.0	1.0	19.0	4.0	0.81	0.98
45	elliptic_envelope	ravdess	none	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.46	0.59	0.39	0.17	119.0	18.0	2.0	161.0	0.82	0.98
46	elliptic_envelope	ravdess	none	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.92	0.96	0.52	0.05	274.0	1.0	19.0	6.0	0.76	0.98
47	elliptic_envelope	ravdess	none	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.7}"	0.26	0.36	0.24	-0.02	62.0	15.0	5.0	218.0	0.48	0.93
48	elliptic_envelope	savee	robust	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.78	0.87	0.59	0.27	87.0	6.0	24.0	3.0	0.85	0.93
49	elliptic_envelope	savee	robust	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.82	0.89	0.68	0.45	88.0	10.0	20.0	2.0	0.95	0.99
50	elliptic_envelope	savee	robust	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.76	0.86	0.56	0.2	86.0	5.0	25.0	4.0	0.85	0.93
51	elliptic_envelope	savee	robust	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.33	0.25	0.32	0.06	13.0	27.0	3.0	77.0	0.58	0.81
52	elliptic_envelope	savee	robust	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.8	0.87	0.71	0.43	81.0	15.0	15.0	9.0	0.87	0.93
53	elliptic_envelope	savee	robust	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.77	0.87	0.5	0.23	90.0	2.0	28.0	0.0	0.93	0.98
54	elliptic_envelope	savee	robust	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.81	0.88	0.73	0.46	81.0	16.0	14.0	9.0	0.87	0.93
55	elliptic_envelope	savee	robust	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.31	0.16	0.29	0.09	8.0	29.0	1.0	82.0	0.58	0.81
56	elliptic_envelope	savee	standard	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.74	0.85	0.46	0.03	88.0	1.0	29.0	2.0	0.84	0.92
57	elliptic_envelope	savee	standard	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.82	0.89	0.68	0.45	88.0	10.0	20.0	2.0	0.95	0.99
58	elliptic_envelope	savee	standard	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.82	0.89	0.67	0.45	89.0	9.0	21.0	1.0	0.87	0.93
59	elliptic_envelope	savee	standard	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.33	0.25	0.32	0.06	13.0	27.0	3.0	77.0	0.58	0.81
60	elliptic_envelope	savee	standard	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.77	0.86	0.54	0.22	88.0	4.0	26.0	2.0	0.85	0.93
61	elliptic_envelope	savee	standard	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.77	0.87	0.5	0.23	90.0	2.0	28.0	0.0	0.93	0.98
62	elliptic_envelope	savee	standard	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.85	0.94
63	elliptic_envelope	savee	standard	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.31	0.16	0.29	0.09	8.0	29.0	1.0	82.0	0.58	0.81
64	elliptic_envelope	savee	none	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.78	0.87	0.62	0.32	86.0	8.0	22.0	4.0	0.88	0.95
65	elliptic_envelope	savee	none	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.82	0.89	0.68	0.45	88.0	10.0	20.0	2.0	0.95	0.99
66	elliptic_envelope	savee	none	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.74	0.85	0.5	0.1	86.0	3.0	27.0	4.0	0.85	0.93
67	elliptic_envelope	savee	none	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.33	0.25	0.32	0.06	13.0	27.0	3.0	77.0	0.58	0.81
68	elliptic_envelope	savee	none	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.91	0.97
69	elliptic_envelope	savee	none	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.77	0.87	0.5	0.23	90.0	2.0	28.0	0.0	0.93	0.98
70	elliptic_envelope	savee	none	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.9	0.97
71	elliptic_envelope	savee	none	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.31	0.16	0.29	0.09	8.0	29.0	1.0	82.0	0.58	0.81
72	elliptic_envelope	ravdess	robust	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.54	0.69	0.41	0.04	151.0	11.0	9.0	129.0	0.53	0.94
73	elliptic_envelope	ravdess	robust	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.54	0.68	0.44	0.21	145.0	18.0	2.0	135.0	0.75	0.98
74	elliptic_envelope	ravdess	robust	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.59	0.74	0.43	0.0	170.0	8.0	12.0	110.0	0.51	0.94
75	elliptic_envelope	ravdess	robust	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.44	0.59	0.35	-0.03	121.0	10.0	10.0	159.0	0.48	0.93
76	elliptic_envelope	ravdess	robust	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.87	0.93	0.58	0.17	255.0	6.0	14.0	25.0	0.58	0.95
77	elliptic_envelope	ravdess	robust	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.46	0.59	0.39	0.17	119.0	18.0	2.0	161.0	0.82	0.98
78	elliptic_envelope	ravdess	robust	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.85	0.92	0.56	0.14	249.0	6.0	14.0	31.0	0.55	0.95
79	elliptic_envelope	ravdess	robust	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.26	0.36	0.24	-0.01	63.0	15.0	5.0	217.0	0.47	0.93
80	elliptic_envelope	ravdess	standard	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.78	0.87	0.49	0.01	230.0	4.0	16.0	50.0	0.55	0.95
81	elliptic_envelope	ravdess	standard	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.54	0.68	0.44	0.21	145.0	18.0	2.0	135.0	0.75	0.98
82	elliptic_envelope	ravdess	standard	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.84	0.91	0.53	0.06	247.0	4.0	16.0	33.0	0.55	0.95
83	elliptic_envelope	ravdess	standard	True	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.44	0.59	0.35	-0.03	121.0	10.0	10.0	159.0	0.48	0.93
84	elliptic_envelope	ravdess	standard	False	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.9	0.95	0.56	0.11	267.0	3.0	17.0	13.0	0.69	0.97
85	elliptic_envelope	ravdess	standard	False	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.46	0.59	0.39	0.17	119.0	18.0	2.0	161.0	0.82	0.98
86	elliptic_envelope	ravdess	standard	False	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.9	0.95	0.56	0.11	267.0	3.0	17.0	13.0	0.68	0.97
87	elliptic_envelope	ravdess	standard	False	explicit	voice_quality	False	"{""columns"": [""jitter"", ""shimmer"", ""hnr""], ""mode"": ""explicit""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.26	0.36	0.24	-0.01	63.0	15.0	5.0	217.0	0.47	0.93
88	elliptic_envelope	ravdess	none	True	all	all	False	"{""mode"": ""all""}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.56	0.7	0.44	0.12	153.0	14.0	6.0	127.0	0.68	0.97
89	elliptic_envelope	ravdess	none	True	prefixes	prosodic	False	"{""mode"": ""prefixes"", ""prefixes"": [""F0_"", ""energy_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.54	0.68	0.44	0.21	145.0	18.0	2.0	135.0	0.75	0.98
90	elliptic_envelope	ravdess	none	True	prefixes	acoustic	False	"{""mode"": ""prefixes"", ""prefixes"": [""mfcc_"", ""spec_"", ""zcr_"", ""spectral_contrast_"", ""chroma_""]}"	"{""contamination"": 0.05, ""random_state"": 42, ""support_fraction"": 0.8}"	0.69	0.81	0.45	-0.02	202.0	5.0	15.0	78.0	0.55	0.95
