	model	dataset	scaler	actor_zscore	features_mode	feature_group	is_top	features_json	model_params_json	accuracy	f1	f1_macro	mcc	tp	tn	fp	fn	roc_auc	average_precision
1347	logistic_regression	ravdess	none	True	explicit	all	20	"{""columns"": [""energy_mean"", ""energy_std"", ""F0_mean"", ""mfcc_1_mean"", ""zcr_mean"", ""F0_std"", ""mfcc_delta_5_std"", ""mfcc_2_mean"", ""mfcc_3_mean"", ""spectral_contrast_6_mean"", ""mfcc_5_mean"", ""mfcc_2_std"", ""mfcc_6_mean"", ""mfcc_4_mean"", ""mfcc_5_std"", ""mfcc_13_std"", ""mfcc_delta_13_std"", ""mfcc_10_std"", ""mfcc_delta2_8_std"", ""mfcc_delta_7_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.46	0.6	0.39	0.17	120.0	18.0	2.0	160.0	0.77	0.98
1352	logistic_regression	ravdess	none	False	explicit	all	20	"{""columns"": [""mfcc_delta_4_std"", ""mfcc_delta_5_std"", ""mfcc_delta2_3_std"", ""mfcc_delta_7_std"", ""spectral_contrast_2_mean"", ""mfcc_delta_2_std"", ""spectral_contrast_3_mean"", ""mfcc_delta_2_mean"", ""hnr"", ""mfcc_delta_12_std"", ""mfcc_delta_1_std"", ""mfcc_7_std"", ""mfcc_delta_10_std"", ""mfcc_delta2_4_std"", ""spectral_contrast_7_mean"", ""mfcc_10_std"", ""spectral_contrast_1_mean"", ""mfcc_delta_1_mean"", ""mfcc_delta_6_std"", ""mfcc_delta2_8_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.81	0.89	0.53	0.1	236.0	6.0	14.0	44.0	0.71	0.97
1357	logistic_regression	savee	robust	True	explicit	all	20	"{""columns"": [""spectral_contrast_7_mean"", ""mfcc_2_mean"", ""chroma_11_mean"", ""mfcc_5_mean"", ""mfcc_delta2_7_std"", ""zcr_mean"", ""mfcc_delta2_13_std"", ""F0_mean"", ""jitter"", ""mfcc_delta2_12_std"", ""spectral_contrast_2_mean"", ""mfcc_delta2_2_std"", ""mfcc_2_std"", ""mfcc_1_std"", ""mfcc_delta_12_std"", ""chroma_6_mean"", ""mfcc_delta2_10_std"", ""mfcc_12_std"", ""mfcc_delta2_2_mean"", ""mfcc_3_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.75	0.85	0.57	0.19	84.0	6.0	24.0	6.0	0.84	0.95
1362	logistic_regression	savee	robust	False	explicit	all	20	"{""columns"": [""mfcc_2_mean"", ""spectral_contrast_2_mean"", ""chroma_11_mean"", ""mfcc_5_mean"", ""F0_mean"", ""mfcc_delta2_7_std"", ""mfcc_6_std"", ""mfcc_delta2_13_std"", ""mfcc_delta2_2_std"", ""mfcc_12_std"", ""mfcc_4_mean"", ""mfcc_delta_5_mean"", ""mfcc_delta2_1_mean"", ""mfcc_delta_12_std"", ""zcr_mean"", ""mfcc_delta_2_mean"", ""mfcc_delta2_3_std"", ""mfcc_delta_9_mean"", ""mfcc_2_std"", ""mfcc_delta_2_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.74	0.85	0.43	-0.05	89.0	0.0	30.0	1.0	0.91	0.97
1367	logistic_regression	savee	standard	True	explicit	all	20	"{""columns"": [""spectral_contrast_7_mean"", ""chroma_11_mean"", ""mfcc_2_mean"", ""mfcc_5_mean"", ""mfcc_delta2_7_std"", ""spectral_contrast_2_mean"", ""mfcc_delta2_13_std"", ""mfcc_delta_12_std"", ""mfcc_delta2_2_std"", ""mfcc_delta2_12_std"", ""F0_mean"", ""mfcc_1_std"", ""jitter"", ""mfcc_2_std"", ""mfcc_10_mean"", ""mfcc_delta2_10_std"", ""mfcc_6_std"", ""mfcc_delta2_2_mean"", ""mfcc_delta_3_mean"", ""mfcc_3_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.71	0.83	0.44	-0.06	84.0	1.0	29.0	6.0	0.83	0.95
1372	logistic_regression	savee	standard	False	explicit	all	20	"{""columns"": [""mfcc_2_mean"", ""chroma_11_mean"", ""spectral_contrast_2_mean"", ""mfcc_5_mean"", ""mfcc_delta2_7_std"", ""mfcc_6_std"", ""mfcc_delta2_13_std"", ""F0_mean"", ""mfcc_4_mean"", ""mfcc_11_mean"", ""mfcc_delta_12_std"", ""mfcc_delta2_3_std"", ""mfcc_delta2_2_std"", ""mfcc_delta2_12_std"", ""mfcc_2_std"", ""mfcc_delta_5_mean"", ""mfcc_delta2_10_std"", ""chroma_1_mean"", ""mfcc_delta2_2_mean"", ""mfcc_delta2_1_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.74	0.85	0.43	-0.05	89.0	0.0	30.0	1.0	0.89	0.97
1377	logistic_regression	savee	none	True	explicit	all	20	"{""columns"": [""energy_mean"", ""spectral_contrast_7_mean"", ""mfcc_delta_12_std"", ""chroma_6_mean"", ""mfcc_5_mean"", ""mfcc_delta2_7_std"", ""spectral_contrast_2_mean"", ""spectral_contrast_6_mean"", ""mfcc_delta2_13_std"", ""mfcc_2_mean"", ""mfcc_2_std"", ""mfcc_delta_9_mean"", ""F0_mean"", ""spectral_contrast_3_mean"", ""mfcc_10_mean"", ""chroma_8_mean"", ""zcr_mean"", ""chroma_11_mean"", ""mfcc_delta2_6_std"", ""mfcc_6_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.75	0.85	0.53	0.15	86.0	4.0	26.0	4.0	0.87	0.96
1382	logistic_regression	savee	none	False	explicit	all	20	"{""columns"": [""mfcc_12_std"", ""spectral_contrast_2_mean"", ""mfcc_2_std"", ""mfcc_5_mean"", ""mfcc_13_mean"", ""F0_mean"", ""mfcc_12_mean"", ""mfcc_10_mean"", ""mfcc_3_mean"", ""mfcc_2_mean"", ""mfcc_6_std"", ""F0_std"", ""spec_centroid_mean"", ""mfcc_8_mean"", ""mfcc_3_std"", ""mfcc_4_mean"", ""spec_rolloff_mean"", ""mfcc_4_std"", ""mfcc_7_mean"", ""spec_bandwidth_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.73	0.84	0.48	0.04	86.0	2.0	28.0	4.0	0.9	0.97
1387	logistic_regression	ravdess	robust	True	explicit	all	20	"{""columns"": [""mfcc_2_std"", ""zcr_mean"", ""mfcc_delta_5_std"", ""mfcc_delta_4_std"", ""mfcc_delta2_3_std"", ""F0_std"", ""energy_mean"", ""mfcc_1_std"", ""mfcc_delta_10_std"", ""hnr"", ""mfcc_7_mean"", ""mfcc_7_std"", ""mfcc_delta_13_std"", ""chroma_5_mean"", ""jitter"", ""mfcc_delta_6_std"", ""mfcc_11_mean"", ""mfcc_12_mean"", ""spec_rolloff_mean"", ""mfcc_delta_2_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.42	0.55	0.37	0.2	106.0	20.0	0.0	174.0	0.81	0.98
1392	logistic_regression	ravdess	robust	False	explicit	all	20	"{""columns"": [""mfcc_1_mean"", ""mfcc_delta_5_std"", ""spectral_contrast_3_mean"", ""mfcc_2_std"", ""mfcc_7_std"", ""mfcc_delta2_3_std"", ""mfcc_delta_1_std"", ""chroma_5_mean"", ""zcr_mean"", ""chroma_9_mean"", ""mfcc_delta_4_std"", ""mfcc_delta2_4_std"", ""mfcc_4_mean"", ""mfcc_8_std"", ""mfcc_delta_13_std"", ""mfcc_2_mean"", ""mfcc_11_mean"", ""mfcc_1_std"", ""mfcc_delta_2_std"", ""mfcc_3_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.79	0.88	0.57	0.22	226.0	11.0	9.0	54.0	0.8	0.98
1397	logistic_regression	ravdess	standard	True	explicit	all	20	"{""columns"": [""zcr_mean"", ""mfcc_delta_5_std"", ""mfcc_2_std"", ""mfcc_delta_4_std"", ""F0_std"", ""mfcc_delta2_3_std"", ""mfcc_1_std"", ""hnr"", ""mfcc_delta_10_std"", ""mfcc_4_std"", ""mfcc_7_mean"", ""mfcc_4_mean"", ""mfcc_delta_6_std"", ""mfcc_7_std"", ""mfcc_delta_13_std"", ""jitter"", ""chroma_5_mean"", ""mfcc_11_mean"", ""mfcc_12_mean"", ""mfcc_1_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.37	0.49	0.33	0.18	91.0	20.0	0.0	189.0	0.8	0.98
1402	logistic_regression	ravdess	standard	False	explicit	all	20	"{""columns"": [""mfcc_1_mean"", ""mfcc_delta_5_std"", ""spectral_contrast_3_mean"", ""mfcc_2_std"", ""mfcc_7_std"", ""mfcc_delta_4_std"", ""mfcc_4_mean"", ""mfcc_delta2_3_std"", ""mfcc_delta_1_std"", ""chroma_9_mean"", ""chroma_5_mean"", ""spectral_contrast_2_mean"", ""mfcc_1_std"", ""mfcc_10_std"", ""mfcc_delta_2_std"", ""mfcc_3_mean"", ""hnr"", ""mfcc_4_std"", ""mfcc_delta_13_mean"", ""spectral_contrast_7_mean""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.8	0.88	0.54	0.12	232.0	7.0	13.0	48.0	0.77	0.98
1407	logistic_regression	ravdess	none	True	explicit	all	20	"{""columns"": [""mfcc_delta_4_std"", ""mfcc_1_std"", ""mfcc_2_std"", ""mfcc_6_std"", ""mfcc_delta_6_std"", ""mfcc_delta2_3_std"", ""energy_mean"", ""mfcc_delta_5_std"", ""zcr_mean"", ""hnr"", ""mfcc_7_mean"", ""spectral_contrast_3_mean"", ""mfcc_delta_10_std"", ""mfcc_7_std"", ""spec_rolloff_mean"", ""mfcc_8_std"", ""chroma_5_mean"", ""mfcc_1_mean"", ""mfcc_10_std"", ""mfcc_4_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.63	0.75	0.49	0.21	172.0	16.0	4.0	108.0	0.81	0.98
1412	logistic_regression	ravdess	none	False	explicit	all	20	"{""columns"": [""mfcc_delta_4_std"", ""mfcc_delta_5_std"", ""mfcc_delta2_3_std"", ""mfcc_delta_7_std"", ""mfcc_delta_2_std"", ""spectral_contrast_2_mean"", ""mfcc_7_std"", ""hnr"", ""spectral_contrast_3_mean"", ""mfcc_10_std"", ""mfcc_4_std"", ""mfcc_delta_1_std"", ""spectral_contrast_1_mean"", ""mfcc_13_std"", ""mfcc_6_mean"", ""mfcc_delta2_1_std"", ""mfcc_3_mean"", ""mfcc_4_mean"", ""mfcc_11_mean"", ""mfcc_9_std""], ""mode"": ""explicit""}"	"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l1"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.78	0.87	0.55	0.18	225.0	10.0	10.0	55.0	0.77	0.98
1417	logistic_regression	savee	robust	True	explicit	all	20	"{""columns"": [""spectral_contrast_7_mean"", ""mfcc_delta2_7_std"", ""mfcc_5_mean"", ""mfcc_delta2_13_std"", ""mfcc_11_mean"", ""chroma_11_mean"", ""spectral_contrast_2_mean"", ""F0_mean"", ""chroma_6_mean"", ""zcr_mean"", ""spectral_contrast_6_mean"", ""mfcc_delta2_12_std"", ""mfcc_2_mean"", ""mfcc_delta_12_std"", ""mfcc_delta_5_mean"", ""mfcc_13_std"", ""hnr"", ""mfcc_1_std"", ""mfcc_7_mean"", ""energy_mean""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.72	0.83	0.44	-0.04	85.0	1.0	29.0	5.0	0.78	0.93
1422	logistic_regression	savee	robust	False	explicit	all	20	"{""columns"": [""mfcc_delta2_7_std"", ""mfcc_delta2_13_std"", ""F0_mean"", ""mfcc_11_mean"", ""chroma_11_mean"", ""mfcc_13_std"", ""mfcc_13_mean"", ""chroma_6_mean"", ""mfcc_delta2_1_mean"", ""mfcc_5_mean"", ""spectral_contrast_2_mean"", ""chroma_10_mean"", ""mfcc_delta_2_mean"", ""spec_centroid_mean"", ""mfcc_1_std"", ""mfcc_delta_5_std"", ""mfcc_2_mean"", ""hnr"", ""mfcc_delta_1_mean"", ""mfcc_2_std""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.88	0.96
1427	logistic_regression	savee	standard	True	explicit	all	20	"{""columns"": [""spectral_contrast_7_mean"", ""mfcc_delta2_13_std"", ""mfcc_delta2_7_std"", ""mfcc_5_mean"", ""chroma_11_mean"", ""chroma_6_mean"", ""mfcc_11_mean"", ""mfcc_delta_5_mean"", ""spectral_contrast_2_mean"", ""mfcc_13_std"", ""spectral_contrast_6_mean"", ""mfcc_2_mean"", ""mfcc_delta_12_std"", ""F0_mean"", ""mfcc_delta2_12_std"", ""spec_centroid_mean"", ""spectral_contrast_3_mean"", ""mfcc_delta2_10_mean"", ""mfcc_delta2_2_mean"", ""mfcc_delta_9_mean""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.72	0.84	0.42	-0.09	87.0	0.0	30.0	3.0	0.76	0.92
1432	logistic_regression	savee	standard	False	explicit	all	20	"{""columns"": [""mfcc_delta2_7_std"", ""mfcc_delta2_13_std"", ""mfcc_13_std"", ""mfcc_13_mean"", ""mfcc_11_mean"", ""chroma_11_mean"", ""chroma_6_mean"", ""F0_mean"", ""mfcc_5_mean"", ""mfcc_1_std"", ""chroma_10_mean"", ""mfcc_delta_4_mean"", ""mfcc_2_mean"", ""spectral_contrast_2_mean"", ""mfcc_delta_12_std"", ""spectral_contrast_3_mean"", ""spec_centroid_mean"", ""mfcc_delta2_1_mean"", ""mfcc_7_mean"", ""mfcc_delta2_7_mean""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.75	0.86	0.43	0.0	90.0	0.0	30.0	0.0	0.87	0.96
1437	logistic_regression	savee	none	True	explicit	all	20	"{""columns"": [""mfcc_delta2_7_std"", ""spectral_contrast_6_mean"", ""spectral_contrast_2_mean"", ""mfcc_delta2_12_std"", ""mfcc_delta2_13_std"", ""mfcc_delta_4_mean"", ""mfcc_5_mean"", ""mfcc_7_mean"", ""energy_mean"", ""F0_std"", ""mfcc_delta2_8_std"", ""F0_mean"", ""mfcc_11_std"", ""mfcc_delta2_6_std"", ""mfcc_2_std"", ""mfcc_delta_12_std"", ""chroma_5_mean"", ""spec_centroid_mean"", ""mfcc_delta_3_std"", ""mfcc_delta2_5_std""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.76	0.85	0.6	0.25	83.0	8.0	22.0	7.0	0.89	0.97
1442	logistic_regression	savee	none	False	explicit	all	20	"{""columns"": [""spectral_contrast_2_mean"", ""mfcc_delta2_7_std"", ""spectral_contrast_6_mean"", ""mfcc_delta2_13_std"", ""mfcc_delta_12_std"", ""mfcc_delta_11_std"", ""mfcc_delta2_1_std"", ""mfcc_delta2_6_std"", ""mfcc_delta2_7_mean"", ""mfcc_delta_1_std"", ""mfcc_delta_7_mean"", ""mfcc_12_std"", ""mfcc_10_std"", ""mfcc_delta_5_std"", ""spectral_contrast_7_mean"", ""spectral_contrast_4_mean"", ""mfcc_delta_4_mean"", ""mfcc_delta2_3_std"", ""mfcc_delta2_9_std"", ""mfcc_13_std""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.82	0.89	0.76	0.52	81.0	18.0	12.0	9.0	0.86	0.95
1447	logistic_regression	ravdess	robust	True	explicit	all	20	"{""columns"": [""F0_mean"", ""energy_std"", ""energy_mean"", ""mfcc_delta_5_std"", ""spectral_contrast_6_mean"", ""zcr_mean"", ""mfcc_2_mean"", ""mfcc_1_mean"", ""mfcc_delta_13_std"", ""F0_std"", ""mfcc_delta_7_std"", ""mfcc_5_mean"", ""mfcc_3_mean"", ""mfcc_13_std"", ""mfcc_delta2_13_std"", ""mfcc_5_std"", ""mfcc_2_std"", ""mfcc_4_mean"", ""mfcc_6_mean"", ""mfcc_delta2_8_std""], ""mode"": ""explicit""}"	"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""penalty"": ""l2"", ""random_state"": 42, ""solver"": ""liblinear""}"	0.42	0.56	0.37	0.17	108.0	19.0	1.0	172.0	0.8	0.98
